participant	list	presentationorder	verb	frame	response	nativeenglish	sentence
15	1	1	say	NP Ved NP	7	True	Someone said something.
15	1	2	say	NP was Ved	2	True	Someone was said.
15	1	3	say	NP Ved	5	True	Someone said.
15	1	4	say	NP Ved NP whichNP S	2	True	Someone said someone which thing happened.
15	1	5	say	NP Ved so	7	True	Someone said so.
15	1	6	say	NP was Ved whichNP S	6	True	Someone was said which thing happened.
15	1	7	say	NP Ved that S[-tense]	4	True	Someone said that something happen.
15	1	8	say	NP was Ved S	7	True	Someone was said something happened.
15	1	9	say	S, I V	6	True	Something happened, I say.
15	1	10	say	NP Ved NP that S[-tense]	2	True	Someone said someone that something happen.
15	1	11	say	NP Ved NP VP	4	True	Someone said someone do something.
15	1	12	say	NP Ved NP whether S	2	True	Someone said someone whether something happened.
15	1	13	say	NP was Ved so	2	True	Someone was said so.
15	1	14	say	NP was Ved about NP	1	True	Someone was said about something.
15	1	15	say	NP Ved NP VPing	3	True	Someone said someone doing something.
15	1	16	say	NP Ved that S[+future]	7	True	Someone said that something would happen.
15	1	17	say	NP Ved to VP[-eventive]	4	True	Someone said to have something.
15	1	18	say	NP was Ved that S	2	True	Someone was said that something happened.
15	1	19	say	NP Ved NP to VP[-eventive]	3	True	Someone said someone to have something.
15	1	20	say	NP Ved NP that S	4	True	Someone said someone that something happened.
15	1	21	say	NP was Ved to VP[-eventive]	7	True	Someone was said to have something.
15	1	22	say	NP was Ved whether S[+future]	3	True	Someone was said whether something would happen.
15	1	23	say	NP Ved VPing	4	True	Someone said doing something.
15	1	24	say	NP was Ved whether S	2	True	Someone was said whether something happened.
15	1	25	say	NP Ved NP to VP[+eventive]	4	True	Someone said someone to do something.
15	1	26	say	NP Ved NP whether S[+future]	2	True	Someone said someone whether something would happen.
15	1	27	say	NP Ved about whether S	3	True	Someone said about whether something happened.
15	1	28	say	NP Ved to NP that S[+future]	7	True	Someone said to someone that something would happen.
15	1	29	say	NP Ved to VP[+eventive]	7	True	Someone said to do something.
15	1	30	say	NP Ved NP that S[+future]	2	True	Someone said someone that something would happen.
15	1	31	say	NP Ved whether to VP	6	True	Someone said whether to do something.
15	1	32	say	NP was Ved that S[+future]	7	True	Someone was said that something would happen.
15	1	33	say	NP Ved for NP to VP	6	True	Someone said for something to happen.
15	1	34	say	NP was Ved whichNP to VP	2	True	Someone was said which thing to do.
15	1	35	say	NP Ved whichNP S	7	True	Someone said which thing happened.
15	1	36	say	NP Ved to NP that S	7	True	Someone said to someone that something happened.
15	1	37	say	NP Ved whether S	7	True	Someone said whether something happened.
15	1	38	say	NP Ved that S	7	True	Someone said that something happened.
15	1	39	say	NP Ved to NP that S[-tense]	4	True	Someone said to someone that something happen.
15	1	40	say	NP Ved NP to NP	7	True	Someone said something to someone.
15	1	41	say	NP Ved whichNP to VP	6	True	Someone said which thing to do.
15	1	42	say	NP was Ved about whether S	2	True	Someone was said about whether something happened.
15	1	43	say	NP Ved to NP whether S	6	True	Someone said to someone whether something happened.
15	1	44	say	NP was Ved whether to VP	2	True	Someone was said whether to do something.
15	1	45	say	NP Ved S	7	True	Someone said something happened.
15	1	46	say	NP Ved to NP whether S[+future]	4	True	Someone said to someone whether something happen.
15	1	47	say	NP was Ved that S[-tense]	2	True	Someone was said that something happen.
15	1	48	say	NP was Ved to VP[+eventive]	6	True	Someone was said to do something.
15	1	49	say	NP Ved about NP	4	True	Someone said about something.
15	1	50	say	NP Ved whether S[+future]	7	True	Someone said whether something would happen.
21	1	1	say	NP Ved NP	7	True	Someone said something.
21	1	2	say	NP was Ved	2	True	Someone was said.
21	1	3	say	NP Ved	5	True	Someone said.
21	1	4	say	NP Ved NP whichNP S	2	True	Someone said someone which thing happened.
21	1	5	say	NP Ved so	5	True	Someone said so.
21	1	6	say	NP was Ved whichNP S	2	True	Someone was said which thing happened.
21	1	7	say	NP Ved that S[-tense]	3	True	Someone said that something happen.
21	1	8	say	NP was Ved S	2	True	Someone was said something happened.
21	1	9	say	S, I V	4	True	Something happened, I say.
21	1	10	say	NP Ved NP that S[-tense]	2	True	Someone said someone that something happen.
21	1	11	say	NP Ved NP VP	2	True	Someone said someone do something.
21	1	12	say	NP Ved NP whether S	2	True	Someone said someone whether something happened.
21	1	13	say	NP was Ved so	2	True	Someone was said so.
21	1	14	say	NP was Ved about NP	2	True	Someone was said about something.
21	1	15	say	NP Ved NP VPing	2	True	Someone said someone doing something.
21	1	16	say	NP Ved that S[+future]	6	True	Someone said that something would happen.
21	1	17	say	NP Ved to VP[-eventive]	5	True	Someone said to have something.
21	1	18	say	NP was Ved that S	2	True	Someone was said that something happened.
21	1	19	say	NP Ved NP to VP[-eventive]	2	True	Someone said someone to have something.
21	1	20	say	NP Ved NP that S	2	True	Someone said someone that something happened.
21	1	21	say	NP was Ved to VP[-eventive]	5	True	Someone was said to have something.
21	1	22	say	NP was Ved whether S[+future]	2	True	Someone was said whether something would happen.
21	1	23	say	NP Ved VPing	2	True	Someone said doing something.
21	1	24	say	NP was Ved whether S	2	True	Someone was said whether something happened.
21	1	25	say	NP Ved NP to VP[+eventive]	2	True	Someone said someone to do something.
21	1	26	say	NP Ved NP whether S[+future]	2	True	Someone said someone whether something would happen.
21	1	27	say	NP Ved about whether S	5	True	Someone said about whether something happened.
21	1	28	say	NP Ved to NP that S[+future]	6	True	Someone said to someone that something would happen.
21	1	29	say	NP Ved to VP[+eventive]	7	True	Someone said to do something.
21	1	30	say	NP Ved NP that S[+future]	2	True	Someone said someone that something would happen.
21	1	31	say	NP Ved whether to VP	5	True	Someone said whether to do something.
21	1	32	say	NP was Ved that S[+future]	2	True	Someone was said that something would happen.
21	1	33	say	NP Ved for NP to VP	2	True	Someone said for something to happen.
