participant	list	presentationorder	verb	frame	response	nativeenglish	sentence
31	0	1	want	NP Ved S	1	True	Someone wanted something happened.
31	0	2	doubt	NP Ved VPing	2	True	Someone doubted doing something.
31	0	3	think	NP Ved NP S	1	True	Someone thought someone something happened.
31	0	4	hear	It Ved NP to VP	1	True	It heard someone to do something.
31	0	5	want	NP Ved NP about NP	2	True	Someone wanted someone about something.
31	0	6	guess	NP Ved WH to VP	3	True	Someone guessed why to do something.
31	0	7	expect	S, I V	7	True	Something happened, I expect.
31	0	8	forbid	NP Ved for NP to VP	1	True	Someone forbade for someone to do something.
31	0	9	guess	S, NP Ved	6	True	Something happened, someone guessed.
31	0	10	believe	NP Ved there to VP	6	True	Someone believed there to be a particular thing in a particular place.
31	0	11	doubt	NP Ved NP that S	4	True	Someone doubted someone that something happened.
31	0	12	hear	It Ved NP that S notense	1	True	It heard someone that something happen.
31	0	13	understand	It Ved NP WH S	1	True	It understood someone why something happened.
31	0	14	believe	NP Ved to NP that S	1	True	Someone believed to someone that something happened.
31	0	15	realize	NP Ved NP S	1	True	Someone realized someone something happened.
31	0	16	imagine	NP was Ved that S notense	1	True	Someone was imagined that something happen.
31	0	17	hate	It Ved NP WH to VP	1	True	It hated someone where to do something.
31	0	18	amaze	NP Ved WH to VP	1	True	Someone amazed how to do something.
31	0	19	say	It Ved NP that S	1	True	It said someone that something happened.
31	0	20	say	It Ved NP WH S	1	True	It said someone how something happened.
31	0	21	realize	NP Ved NP that S notense	1	True	Someone realized someone that something happen.
31	0	22	deny	It Ved NP that S	1	True	It denied someone that something happened.
31	0	23	forbid	NP Ved about NP	1	True	Someone forbade about something.
31	0	24	pretend	NP Ved NP about NP	1	True	Someone pretended someone about something.
31	0	25	love	NP was Ved that S	1	True	Someone was loved that something happened.
31	0	26	feel	NP Ved it that S notense	4	True	Someone felt it that something happen.
31	0	27	remember	NP Ved NP	7	True	Someone remembered something.
31	0	28	feel	NP Ved that S notense	7	True	Someone felt that something happen.
31	0	29	forget	NP Ved WH S	7	True	Someone forgot how something happened.
31	0	30	forget	NP Ved if S	7	True	Someone forgot if something happened.
31	0	31	see	It Ved NP WH to VP	1	True	It saw someone where to do something.
31	0	32	hope	It Ved NP WH to VP	1	True	It hoped someone how to do something.
31	0	33	demand	NP Ved NP to VP	5	True	Someone demanded someone to do something.
31	0	34	expect	NP Ved WH S	2	True	Someone expected why something happened.
31	0	35	love	NP Ved to VP	7	True	Someone loved to do something.
31	0	36	worry	NP Ved so	7	True	Someone worried so.
31	0	37	promise	NP Ved that S	5	True	Someone promised that something happened.
31	0	38	hope	NP was Ved to VP	6	True	Someone was hoped to do something.
31	0	39	amaze	NP Ved if S notense	2	True	Someone amazed if something happen.
31	0	40	suppose	NP Ved WH to VP	6	True	Someone supposed where to do something.
31	0	41	suppose	NP Ved to NP that S notense	2	True	Someone supposed to someone that something happen.
31	0	42	bother	NP Ved	4	True	Someone bothered.
31	0	43	see	It Ved NP WH S	1	True	It saw someone where something happened.
31	0	44	need	NP Ved NP NP	1	True	Someone needed someone something.
31	0	45	think	NP Ved NP that S notense	1	True	Someone thought someone that something happen.
31	0	46	worry	NP Ved to	1	True	Someone worried to.
31	0	47	need	NP Ved	1	True	Someone needed.
31	0	48	understand	It Ved NP WH to VP	1	True	It understood someone why to do something.
31	0	49	allow	NP Ved about NP	1	True	Someone allowed about something.
31	0	50	pretend	NP Ved S	7	True	Someone pretended something happened.
31	0	51	demand	NP Ved NP VP	6	True	Someone demanded someone do something.
31	0	52	bother	NP Ved NP NP	1	True	Someone bothered someone something.
