listid	participant	verb	subject	consequent	valence	question	response
0	96	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	33	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	2	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.17
0	59	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.1
0	29	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.06
0	76	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.03
0	20	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.4
0	31	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.02
0	64	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.12
0	12	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.55
0	30	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	27	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	34	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	7	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	50	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	71	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.15
0	16	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.07
0	49	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.7
0	66	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.5
0	95	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	15	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.42
0	38	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.0
0	36	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.25
0	45	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.38
0	68	notify	mechanic	want	negative	What proportion of mechanics generally want carburetors to have leaks?	0.1
2	26	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.14
2	51	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.5
2	88	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.96
2	19	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.5
2	25	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.18
2	84	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.78
2	47	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	1.0
2	74	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.75
2	63	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.15
2	62	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.76
2	90	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.16
2	85	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.5
2	1	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.56
2	37	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.67
2	83	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.6
2	18	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.1
2	44	notify	mechanic	believe	negative	What proportion of mechanics generally believe that carburetors will have leaks?	0.4
