verb	frame	polarity	sentence	veridicalitylike	veridicalitynorm
shock	NP was Ved to VP[-eventive]	positive	A particular person was shocked to have a particular thing.	-0.055875584	4.0066404
shock	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t shocked to have a particular thing.	-0.05135447	4.0066404
amaze	NP was Ved to VP[-eventive]	positive	A particular person was amazed to have a particular thing.	-0.047627732	3.882274
amaze	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t amazed to have a particular thing.	-0.057696197	3.882274
overwhelm	NP was Ved to VP[-eventive]	positive	A particular person was overwhelmed to have a particular thing.	-0.055016	3.8784473
overwhelm	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t overwhelmed to have a particular thing.	-0.05088612	3.8784473
surprise	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t surprised to have a particular thing.	-0.053078316	3.8553076
surprise	NP was Ved to VP[-eventive]	positive	A particular person was surprised to have a particular thing.	-0.07590817	3.8553076
please	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t pleased to have a particular thing.	-0.0579375	3.8429904
please	NP was Ved to VP[-eventive]	positive	A particular person was pleased to have a particular thing.	-0.046229385	3.8429904
displease	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t displeased to have a particular thing.	-0.09157052	3.8298767
displease	NP was Ved to VP[-eventive]	positive	A particular person was displeased to have a particular thing.	-0.07548663	3.8298767
thrill	NP was Ved to VP[-eventive]	positive	A particular person was thrilled to have a particular thing.	-0.04419813	3.6953576
thrill	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t thrilled to have a particular thing.	-0.054629367	3.6953576
annoy	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t annoyed to have a particular thing.	-0.0610212	3.6426878
annoy	NP was Ved to VP[-eventive]	positive	A particular person was annoyed to have a particular thing.	-0.058738273	3.6426878
disgust	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t disgusted to have a particular thing.	-0.046522323	3.6417255
disgust	NP was Ved to VP[-eventive]	positive	A particular person was disgusted to have a particular thing.	-0.09055747	3.6417255
disappoint	NP was Ved to VP[-eventive]	positive	A particular person was disappointed to have a particular thing.	-0.068357386	3.6110258
disappoint	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t disappointed to have a particular thing.	-0.20046577	3.6110258
irritate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t irritated to have a particular thing.	-0.08478181	3.5805628
irritate	NP was Ved to VP[-eventive]	positive	A particular person was irritated to have a particular thing.	-0.112452574	3.5805628
gratify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t gratified to have a particular thing.	-0.42611408	3.5098186
gratify	NP was Ved to VP[-eventive]	positive	A particular person was gratified to have a particular thing.	-0.098797455	3.5098186
amaze	NP was Ved to VP[+eventive]	positive	A particular person was amazed to do a particular thing.	-0.096766196	3.5028338
amaze	NP was Ved to VP[+eventive]	negative	A particular person wasn\'t amazed to do a particular thing.	-0.16047914	3.5028338
humble	NP was Ved to VP[-eventive]	positive	A particular person was humbled to have a particular thing.	-0.07474605	3.3641248
humble	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t humbled to have a particular thing.	-0.2983394	3.3641248
elate	NP was Ved to VP[-eventive]	positive	A particular person was elated to have a particular thing.	-0.11305028	3.2845576
elate	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t elated to have a particular thing.	-0.24468283	3.2845576
delight	NP was Ved to VP[-eventive]	positive	A particular person was delighted to have a particular thing.	-0.11550663	3.2495232
delight	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t delighted to have a particular thing.	-0.076031245	3.2495232
flatter	NP was Ved to VP[-eventive]	positive	A particular person was flattered to have a particular thing.	-0.10792775	3.217576
flatter	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t flattered to have a particular thing.	-0.26508266	3.217576
mortify	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t mortified to have a particular thing.	-0.09071544	3.1697671
mortify	NP was Ved to VP[-eventive]	positive	A particular person was mortified to have a particular thing.	-0.2486595	3.1697671
dissatisfy	NP was Ved that S	positive	Someone was dissatisfied that a particular thing happened	-0.078943014	3.1071417
dissatisfy	NP was Ved that S	negative	Someone wasn\'t dissatisfied that a particular thing happened	-0.027947346	3.1071417
stun	NP was Ved to VP[-eventive]	positive	A particular person was stunned to have a particular thing.	-0.08877896	3.0295615
stun	NP was Ved to VP[-eventive]	negative	A particular person wasn\'t stunned to have a particular thing.	-0.21725641	3.0295615
