verb,frame,voice,polarity,conditional,sentence,veridicality_normalized,acceptability_normalized,veridicality_loglikelihood,acceptability_loglikelihood
accept,that_S,active,negative,False,Someone didn\'t accept that a particular thing happened,0.16148026287555695,0.22042874991893768,-0.9358235597610474,-1.1272066831588745
accept,that_S,active,negative,True,John didn't accept that a particular thing happened,0.16127778589725494,0.8445766568183899,-1.039138674736023,-0.7614963054656982
accept,that_S,active,positive,False,Someone accepted that a particular thing happened,1.2898789644241333,2.4438564777374268,-0.535060703754425,-0.6004893779754639
accept,that_S,active,positive,True,John accepted that a particular thing happened,1.6922444105148315,2.546992540359497,-0.07199759781360626,-0.5316537618637085
accept,to_VPstative,active,negative,False,A particular person didn\'t accept to have a particular thing.,-1.129593849182129,-1.791955590248108,-0.7325786352157593,-0.9551852345466614
accept,to_VPstative,active,positive,False,A particular person accepted to have a particular thing.,0.9030202627182007,-0.25899970531463623,-0.6079822182655334,-0.9990042448043823
acclaim,to_VPstative,passive,negative,False,A particular person wasn\'t acclaimed to have a particular thing.,-0.8048416972160339,-1.6261557340621948,-0.5933104753494263,-1.345382809638977
acclaim,to_VPstative,passive,positive,False,A particular person was acclaimed to have a particular thing.,0.2859530448913574,-0.5479254126548767,-1.0228633880615234,-1.522938847541809
accredit,NP_to_VPstative,active,negative,False,Someone didn\'t accredit a particular person to have a particular thing.,-0.6136105060577393,-1.04971444606781,-0.49457016587257385,-1.1496609449386597
accredit,NP_to_VPstative,active,positive,False,Someone accredited a particular person to have a particular thing.,-0.14893971383571625,-1.0158942937850952,-0.8461683988571167,-1.4065217971801758
acknowledge,that_S,active,negative,False,Someone didn\'t acknowledge that a particular thing happened,0.536604106426239,0.9486547112464905,-0.6494902968406677,-0.835416316986084
acknowledge,that_S,active,negative,True,John didn't acknowledge that a particular thing happened,-0.6157652735710144,1.432079553604126,-0.8191705942153931,-0.7960309982299805
acknowledge,that_S,active,positive,False,Someone acknowledged that a particular thing happened,1.635290265083313,1.3758472204208374,-0.2778497636318207,-0.7261427044868469
acknowledge,that_S,active,positive,True,John acknowledged that a particular thing happened,1.6835298538208008,2.853362798690796,-0.05849443003535271,-0.1276039183139801
acknowledge,to_VPeventive,active,negative,False,A particular person didn\'t acknowledge to do a particular thing.,-1.1218599081039429,-1.2795780897140503,-0.5598050355911255,-0.8070716857910156
acknowledge,to_VPeventive,active,positive,False,A particular person acknowledged to do a particular thing.,0.49609923362731934,-0.6573034524917603,-0.6394006013870239,-1.3028022050857544
acknowledge,to_VPstative,passive,negative,False,A particular person wasn\'t acknowledged to have a particular thing.,-1.6613720655441284,-0.3224472999572754,-0.890046238899231,-1.3675497770309448
acknowledge,to_VPstative,passive,positive,False,A particular person was acknowledged to have a particular thing.,1.717210292816162,1.2796485424041748,-0.5022131204605103,-0.8689414858818054
add,that_S,active,negative,False,Someone didn\'t add that a particular thing happened,-0.16989845037460327,-1.0681350231170654,-1.0376689434051514,-1.308582067489624
add,that_S,active,negative,True,John didn't add that a particular thing happened,-0.47862687706947327,-0.8827763795852661,-1.014178991317749,-1.525209665298462
add,that_S,active,positive,False,Someone added that a particular thing happened,0.8154258131980896,-0.4867139160633087,-0.4938358664512634,-1.2704713344573975
add,that_S,active,positive,True,John added that a particular thing happened,1.6055257320404053,0.49040982127189636,-0.2411670982837677,-1.1823972463607788
address,that_S,active,negative,False,Someone didn\'t address that a particular thing happened,0.15934574604034424,-0.6047827005386353,-0.8745706677436829,-1.4917232990264893
address,that_S,active,negative,True,John didn't address that a particular thing happened,0.36372074484825134,0.3668344020843506,-0.7602510452270508,-1.1864879131317139
address,that_S,active,positive,False,Someone addressed that a particular thing happened,1.2460947036743164,0.4751160740852356,-0.3661670684814453,-0.7533707618713379
address,that_S,active,positive,True,John addressed that a particular thing happened,0.6835834383964539,1.2557529211044312,-0.6750734448432922,-0.7765724062919617
address,to_VPeventive,passive,negative,False,A particular person wasn\'t addressed to do a particular thing.,-1.4551193714141846,-1.2438814640045166,-0.7767273187637329,-1.2063244581222534
address,to_VPeventive,passive,positive,False,A particular person was addressed to do a particular thing.,-0.246256485581398,-0.5149210095405579,-0.4384118914604187,-1.576779842376709
admit,that_S,active,negative,False,Someone didn\'t admit that a particular thing happened,-0.11449037492275238,-0.11773832142353058,-0.7715811729431152,-1.487463355064392
