antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
fess_up	negative	NP V to NP that S[+future]	object	want	future	A didn't fess up to B that C would happen	0.48002055287361145
consider	positive	NP V that S	subject	want	past	A considered that C happened	0.6002834439277649
traumatize	negative	NP be V that S[+future]	subject	believe	future	A wasn't traumatized that C would happen	0.6895653605461121
speculate	positive	NP V to NP that S[+future]	object	believe	future	A speculated to B that C would happen	0.6198089122772217
blare	positive	NP V that S[-tense]	subject	want	future	A blared that C happen	0.6760718822479248
phone	negative	NP V to NP that S	object	want	past	A didn't phone to B that C happened	0.4930121600627899
determine	positive	NP be V that S	subject	want	past	A was determined that C happened	0.855130136013031
propose	negative	NP V to NP that S[+future]	object	believe	future	A didn't propose to B that C would happen	0.46607527136802673
wager	positive	NP be V that S[+future]	subject	want	future	A was wagered that C would happen	0.641274631023407
recap	positive	NP V that S[+future]	subject	believe	future	A recapped that C would happen	0.8474850654602051
display	negative	NP V that S	subject	believe	past	A didn't display that C happened	0.453940212726593
curse	negative	NP V to NP that S	subject	believe	past	A didn't curse to B that C happened	0.6409376859664917
discern	positive	NP V that S	subject	want	past	A discerned that C happened	0.5809403657913208
pain	negative	NP be V that S	subject	want	past	A wasn't pained that C happened	0.6532154083251953
invigorate	positive	NP be V that S[+future]	subject	believe	future	A was invigorated that C would happen	0.7843608856201172
squeal	negative	NP V that S[+future]	subject	believe	future	A didn't squeal that C would happen	0.5911078453063965
embolden	positive	NP V that S[-tense]	subject	want	future	A emboldened that C happen	0.7545415759086609
recall	negative	NP V that S[+future]	subject	want	future	A didn't recall that C would happen	0.44127658009529114
calculate	positive	NP V that S[+future]	subject	believe	future	A calculated that C would happen	0.8610588312149048
trouble	negative	NP be V that S[+future]	subject	want	future	A wasn't troubled that C would happen	0.6195637583732605
hold	positive	NP V that S	subject	want	past	A held that C happened	0.6891405582427979
smell	negative	NP V that S[+future]	subject	believe	future	A didn't smell that C would happen	0.35159406065940857
submit	negative	NP V that S[+future]	subject	believe	future	A didn't submit that C would happen	0.38159167766571045
alert	positive	NP V to NP that S[+future]	subject	want	future	A alerted to B that C would happen	0.5441358089447021
reaffirm	negative	NP be V that S[+future]	subject	believe	future	A wasn't reaffirmed that C would happen	0.38172978162765503
instruct	positive	NP be V that S	subject	believe	past	A was instructed that C happened	0.6773566007614136
persuade	negative	NP V NP that S[+future]	subject	want	future	A didn't persuade B that C would happen	0.48121801018714905
claim	positive	NP V to NP that S	object	believe	past	A claimed to B that C happened	0.6348943114280701
deny	negative	NP V that S	subject	believe	past	A didn't deny that C happened	0.8026413917541504
fake	positive	NP V that S[+future]	subject	believe	future	A faked that C would happen	0.17399324476718903
bullshit	positive	NP V to NP that S[+future]	object	want	future	A bullshitted to B that C would happen	0.5029199719429016
confess	positive	NP V to NP that S[+future]	subject	want	future	A confessed to B that C would happen	0.523556113243103
generalize	negative	NP V to NP that S[+future]	subject	want	future	A didn't generalize to B that C would happen	0.4528004229068756
demand	positive	NP V to NP that S[-tense]	subject	want	future	A demanded to B that C happen	0.8671807646751404
advise	negative	NP V to NP that S[+future]	object	believe	future	A didn't advise to B that C would happen	0.4024598002433777
diagnose	positive	NP V that S[+future]	subject	believe	future	A diagnosed that C would happen	0.8566159605979919
confess	negative	NP V to NP that S[+future]	subject	believe	future	A didn't confess to B that C would happen	0.473550021648407
jeer	negative	NP V that S[+future]	subject	believe	future	A didn't jeer that C would happen	0.5536298751831055
obsess	negative	NP be V that S	subject	want	past	A wasn't obsessed that C happened	0.44136151671409607
bore	positive	NP be V that S	subject	want	past	A was bored that C happened	0.3257182240486145
emphasize	positive	NP V to NP that S	subject	want	past	A emphasized to B that C happened	0.5961925387382507
concur	negative	NP V to NP that S	subject	want	past	A didn't concur to B that C happened	0.4249722361564636
joke	negative	NP V to NP that S[+future]	subject	believe	future	A didn't joke to B that C would happen	0.4990827739238739
admonish	negative	NP V that S	subject	believe	past	A didn't admonish that C happened	0.5884286761283875
challenge	negative	NP V NP that S[+future]	subject	want	future	A didn't challenge B that C would happen	0.4891047477722168
comment	positive	NP V to NP that S	subject	believe	past	A commented to B that C happened	0.7961872220039368
discuss	negative	NP V that S	subject	believe	past	A didn't discuss that C happened	0.456625372171402
implore	negative	NP be V that S[+future]	subject	believe	future	A wasn't implored that C would happen	0.4106947183609009
insult	positive	NP be V that S[+future]	subject	believe	future	A was insulted that C would happen	0.5950868725776672
deny	positive	NP V to NP that S[+future]	subject	want	future	A denied to B that C would happen	0.37558043003082275
