participant	list	presentationorder	verb	frame	tense	sentence	response	nativeenglish	version
44	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
10	0	40	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
33	0	6	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
24	0	47	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
2	0	14	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
47	0	31	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
17	0	8	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
43	0	16	ask	NP be V whether S	present	Someone is asked whether something happened.	5.0	True	2
20	0	23	ask	NP be V whether S	present	Someone is asked whether something happened.	4.0	True	2
42	0	48	ask	NP be V whether S	present	Someone is asked whether something happened.	2.0	True	2
34	0	16	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
11	0	5	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
5	0	22	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
38	0	33	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
0	0	47	ask	NP be V whether S	present	Someone is asked whether something happened.	4.0	True	2
48	0	49	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
37	0	21	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
26	0	45	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
29	0	30	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
46	0	47	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
1	0	14	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
32	0	6	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
7	0	13	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
36	0	49	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
49	0	37	ask	NP be V whether S	present	Someone is asked whether something happened.	7.0	True	2
15	0	50	ask	NP be V whether S	present	Someone is asked whether something happened.	6.0	True	2
